1 	Brazil 	1841 	0 	4
2 	Belgium 	1817 	0 	-5
3 	Argentina 	1774 	0 	3
4 	France 	1760 	0 	-5
5 	England 	1728 	0 	-9
6 	Italy 	1726 	1 	12
7 	Spain 	1715 	-1 	-2
8 	Netherlands 	1695 	0 	15
9 	Portugal 	1677 	0 	-2
10 	Denmark 	1667 	0 	1
11 	Germany 	1650 	0 	-9
12 	Croatia 	1646 	3 	13
13 	Mexico 	1645 	-1 	-5
14 	Uruguay 	1639 	-1 	-2
15 	Switzerland 	1636 	1 	14
16 	USA 	1627 	-2 	-8
17 	Colombia 	1611 	0 	7
18 	Senegal 	1584 	0 	0
19 	Wales 	1570 	0 	-12
20 	Iran 	1565 	2 	6
21 	Serbia 	1564 	4 	14
22 	Morocco 	1564 	1 	5
23 	Peru 	1561 	-2 	-1
24 	Japan 	1560 	0 	5
25 	Sweden 	1553 	-5 	-10
26 	Poland 	1549 	0 	2
27 	Ukraine 	1537 	0 	-6
28 	Korea Republic 	1530 	0 	4
29 	Chile 	1510 	0 	-5
30 	Tunisia 	1508 	0 	0
31 	Costa Rica 	1504 	3 	4
32 	Nigeria 	1498 	-1 	-6
33 	Russia 	1496 	2 	3
34 	Austria 	1493 	-1 	-10
35 	Czech Republic 	1492 	-3 	-11
36 	Hungary 	1492 	1 	5
37 	Algeria 	1489 	4 	9
38 	Australia 	1489 	1 	5
39 	Egypt 	1486 	1 	4
40 	Scotland 	1480 	5 	17
41 	Canada 	1475 	2 	1
42 	Norway 	1473 	-6 	-16
43 	Cameroon 	1471 	-5 	-14
44 	Ecuador 	1464 	0 	1
45 	Turkey 	1460 	-3 	-15
46 	Mali 	1449 	0 	6
47 	Paraguay 	1449 	3 	9
48 	Ivory Coast 	1443 	4 	7
49 	Republic of Ireland 	1440 	-2 	-2
50 	Qatar 	1440 	-2 	-2
51 	Saudi Arabia 	1438 	2 	2
52 	Greece 	1438 	-3 	-4
53 	Romania 	1435 	1 	7
54 	Burkina Faso 	1432 	1 	7
55 	Slovakia 	1426 	-4 	-14
56 	Finland 	1406 	3 	7
57 	Venezuela 	1404 	-1 	-1
58 	Bosnia and Herzegovina 	1404 	-1 	0
59 	Northern Ireland 	1397 	-1 	-3
60 	Panama 	1393 	1 	4
61 	Ghana 	1393 	-1 	0
62 	Iceland 	1384 	1 	5
63 	Slovenia 	1384 	2 	12
64 	Jamaica 	1379 	-2 	-3
65 	North Macedonia 	1359 	-1 	-17
66 	Albania 	1354 	0 	-8
67 	South Africa 	1350 	1 	-1
68 	Iraq 	1343 	2 	4
69 	Montenegro 	1341 	-2 	-14
70 	United Arab Emirates 	1338 	-1 	-9
71 	Cape Verde Islands 	1336 	2 	5
72 	Bulgaria 	1335 	2 	10
73 	Congo DR 	1334 	-1 	1
74 	El Salvador 	1331 	-3 	-3
75 	Oman 	1320 	0 	-3
76 	Israel 	1317 	0 	0
77 	Uzbekistan 	1310 	0 	3
78 	Georgia 	1307 	4 	11
79 	China PR 	1305 	-1 	0
80 	Honduras 	1302 	0 	2
81 	Gabon 	1302 	-2 	0
82 	Bolivia 	1296 	-1 	-3
83 	Guinea 	1290 	0 	-4
84 	Jordan 	1290 	2 	10
85 	Bahrain 	1281 	0 	-9
86 	Curacao 	1279 	-2 	-15
87 	Haiti 	1269 	1 	0
88 	Zambia 	1267 	-1 	-3
89 	Uganda 	1261 	1 	-4
90 	Syria 	1256 	-1 	-9
91 	Benin 	1247 	0 	-11
92 	Luxembourg 	1244 	1 	8
93 	Armenia 	1234 	-1 	-8
94 	Palestine 	1234 	0 	0
95 	Kyrgyzstan 	1230 	0 	-3
96 	Vietnam 	1227 	1 	8
97 	Belarus 	1221 	-1 	-5
98 	Equatorial Guinea 	1216 	0 	0
99 	Lebanon 	1212 	1 	0
100 	Congo 	1209 	-1 	-6
101 	Kenya 	1202 	1 	0
102 	Madagascar 	1201 	3 	7
103 	Mauritania 	1198 	4 	16
104 	Trinidad and Tobago 	1195 	-3 	-11
105 	New Zealand 	1194 	-2 	-5
106 	India 	1192 	-2 	-7
107 	Kosovo 	1187 	-1 	3
108 	Tajikistan 	1186 	1 	7
109 	Estonia 	1185 	1 	7
110 	Cyprus 	1184 	-2 	3
111 	Thailand 	1175 	0 	4
112 	Korea DPR 	1170 	0 	0
113 	Kazakhstan 	1167 	1 	0
114 	Mozambique 	1165 	2 	0
115 	Namibia 	1164 	2 	0
116 	Guinea-Bissau 	1161 	-1 	-5
117 	Sierra Leone 	1160 	-4 	-9
118 	Guatemala 	1157 	0 	-5
119 	Angola 	1156 	1 	7
120 	Libya 	1154 	1 	6
121 	Niger 	1153 	-2 	-2
122 	Faroe Islands 	1147 	3 	11
123 	Azerbaijan 	1147 	5 	20
124 	Malawi 	1145 	-2 	0
125 	Zimbabwe 	1139 	-2 	0
126 	Gambia 	1137 	-2 	0
127 	Togo 	1129 	-1 	-1
128 	Sudan 	1127 	2 	2
129 	Comoros 	1123 	-2 	-4
130 	Tanzania 	1120 	1 	-2
131 	Antigua and Barbuda 	1117 	1 	0
132 	Central African Republic 	1117 	1 	1
133 	Philippines 	1115 	1 	0
134 	Latvia 	1114 	-5 	-11
135 	Turkmenistan 	1100 	0 	0
136 	Solomon Islands 	1096 	1 	3
137 	Rwanda 	1094 	-1 	-1
138 	Ethiopia 	1091 	0 	3
139 	Suriname 	1077 	4 	5
140 	St Kitts and Nevis 	1077 	0 	0
141 	Burundi 	1076 	0 	0
142 	Nicaragua 	1072 	-3 	-7
143 	Swaziland 	1071 	1 	0
144 	Lithuania 	1070 	-2 	-4
145 	Hong Kong 	1062 	2 	4
146 	Malaysia 	1062 	2 	5
147 	Lesotho 	1061 	-2 	0
148 	Botswana 	1056 	-2 	-4
149 	Kuwait 	1053 	0 	0
150 	Liberia 	1050 	0 	-2
151 	Andorra 	1035 	1 	6
152 	Indonesia 	1034 	3 	15
153 	Dominican Republic 	1032 	-2 	0
154 	Maldives 	1026 	2 	8
155 	Yemen 	1024 	-2 	0
156 	Afghanistan 	1023 	-2 	0
157 	Chinese Taipei 	1018 	0 	0
158 	Myanmar 	1008 	0 	-4
159 	Papua New Guinea 	1007 	2 	10
160 	Singapore 	1004 	-1 	-1
161 	New Caledonia 	996 	-1 	-4
162 	Tahiti 	995 	0 	0
163 	Fiji 	989 	0 	-4
164 	Vanuatu 	986 	0 	-5
165 	South Sudan 	984 	0 	0
166 	Barbados 	982 	0 	0
167 	Cuba 	979 	0 	0
168 	Malta 	978 	1 	3
169 	Bermuda 	977 	-1 	0
170 	Puerto Rico 	974 	0 	0
171 	Guyana 	969 	1 	0
172 	St Lucia 	966 	1 	0
173 	Grenada 	964 	-2 	-5
174 	Moldova 	961 	3 	16
175 	Nepal 	955 	1 	4
176 	Belize 	951 	-1 	0
177 	Cambodia 	949 	-3 	-6
178 	St Vincent and the Grenadines 	945 	1 	5
179 	Montserrat 	941 	-1 	0
180 	Mauritius 	932 	0 	0
181 	Chad 	930 	0 	-2
182 	Macau 	922 	0 	0
183 	Mongolia 	914 	1 	0
184 	Dominica 	912 	1 	0
185 	Bhutan 	911 	1 	0
186 	Sao Tome and Principe 	908 	1 	0
187 	Laos 	906 	-4 	-9
188 	American Samoa 	900 	0 	0
189 	Cook Islands 	899 	0 	0
190 	Brunei Darussalam 	898 	0 	1
191 	Samoa 	894 	0 	0
192 	Bangladesh 	884 	0 	1
193 	Djibouti 	875 	0 	-3
194 	Pakistan 	867 	1 	0
195 	Cayman Islands 	866 	1 	0
196 	Liechtenstein 	862 	-2 	-12
197 	Tonga 	862 	0 	0
198 	Timor-Leste 	860 	1 	0
199 	Seychelles 	860 	-1 	-1
200 	Eritrea 	856 	1 	0
201 	Aruba 	855 	1 	0
202 	Bahamas 	855 	1 	0
203 	Somalia 	855 	1 	0
204 	Gibraltar 	852 	-4 	-4
205 	Guam 	838 	0 	0
206 	Turks and Caicos Islands 	832 	0 	0
207 	Sri Lanka 	825 	0 	0
208 	US Virgin Islands 	824 	0 	0
209 	British Virgin Islands 	809 	0 	0
210 	Anguilla 	791 	0 	0
211 	San Marino 	762 	0 	-2
